Time,,OriNet_Q0,OriNet_Q1,OriNet_Q2,OriNet_Q3,,GT_Q0,GT_Q1,GT_Q2,GT_Q3
1.40363685954167E+018,,0.567097,-0.129158,-0.811071,-0.062319,,0.567097,-0.129158,-0.811071,-0.062319
1.40363685954667E+018,,0.566828,-0.129267,-0.811216,-0.062659,,0.566828,-0.129267,-0.811216,-0.062659
1.40363685955167E+018,,0.566591,-0.129366,-0.811335,-0.063049,,0.566591,-0.129366,-0.811335,-0.063049
1.40363685955667E+018,,0.566376,-0.129457,-0.811437,-0.063486,,0.566376,-0.129457,-0.811437,-0.063486
1.40363685956167E+018,,0.566179,-0.129538,-0.811524,-0.063963,,0.566179,-0.129538,-0.811524,-0.063963
1.40363685956667E+018,,0.566003,-0.129617,-0.811595,-0.064467,,0.566003,-0.129617,-0.811595,-0.064467
1.40363685957167E+018,,0.565838,-0.129705,-0.811655,-0.064973,,0.565838,-0.129705,-0.811655,-0.064973
1.40363685957667E+018,,0.565691,-0.129805,-0.811702,-0.065468,,0.565691,-0.129805,-0.811702,-0.065468
1.40363685958167E+018,,0.565572,-0.129916,-0.811729,-0.065948,,0.565572,-0.129916,-0.811729,-0.065948
1.40363685958667E+018,,0.565473,-0.130039,-0.811737,-0.06643,,0.565473,-0.130039,-0.811737,-0.06643
1.40363685959167E+018,,0.565388,-0.130165,-0.811735,-0.066931,,0.565388,-0.130165,-0.811735,-0.066931
1.40363685959667E+018,,0.565311,-0.130285,-0.811727,-0.067454,,0.565311,-0.130285,-0.811727,-0.067454
1.40363685960167E+018,,0.565243452,-0.1303932496,-0.8117119308,-0.0680005176,,0.565244,-0.130397,-0.81171,-0.068
1.40363685960667E+018,,0.5651934263,-0.1304906762,-0.8116838524,-0.0685707949,,0.565195,-0.130498,-0.81168,-0.06857
1.40363685961167E+018,,0.5651669367,-0.1305785374,-0.8116388713,-0.0691579301,,0.56517,-0.130588,-0.811634,-0.069156
1.40363685961667E+018,,0.5651697264,-0.1306622075,-0.8115728663,-0.069753259,,0.565173,-0.130675,-0.811567,-0.06975
1.40363685962167E+018,,0.5652069663,-0.1307436463,-0.8114825248,-0.0703512587,,0.56521,-0.13076,-0.811476,-0.070347
1.40363685962667E+018,,0.5652818534,-0.1308193297,-0.8113664117,-0.0709518562,,0.565285,-0.130837,-0.81136,-0.070945
1.40363685963167E+018,,0.5653881576,-0.1308935878,-0.8112285618,-0.0715495372,,0.565391,-0.130912,-0.811221,-0.071541
1.40363685963667E+018,,0.565514643,-0.1309720111,-0.811077101,-0.0721320143,,0.565518,-0.130991,-0.811067,-0.072119
1.40363685964167E+018,,0.5656594046,-0.1310573734,-0.8109132664,-0.0726931509,,0.565664,-0.131078,-0.810902,-0.072677
1.40363685964667E+018,,0.5658317675,-0.131150095,-0.8107311881,-0.073223833,,0.565837,-0.131171,-0.810718,-0.073206
1.40363685965167E+018,,0.5660434179,-0.1312514168,-0.8105242066,-0.0737081393,,0.566051,-0.131273,-0.810509,-0.073687
1.40363685965667E+018,,0.5662976913,-0.1313644875,-0.8102900366,-0.0741416955,,0.566307,-0.131387,-0.810273,-0.074114
1.40363685966167E+018,,0.566586104,-0.1314881254,-0.8100339529,-0.074533021,,0.566597,-0.131511,-0.810015,-0.074501
1.40363685966667E+018,,0.56690241,-0.1316195145,-0.8097597184,-0.0748912621,,0.566915,-0.131644,-0.809738,-0.074857
1.40363685967167E+018,,0.56724404,-0.1317550872,-0.8094692193,-0.0752201906,,0.567259,-0.13178,-0.809445,-0.075182
1.40363685967667E+018,,0.5676054256,-0.1318932569,-0.8091656507,-0.075529302,,0.567623,-0.131919,-0.809139,-0.075488
1.40363685968167E+018,,0.567983298,-0.1320305937,-0.8088509013,-0.0758306247,,0.568002,-0.132058,-0.808822,-0.075787
1.40363685968667E+018,,0.5683719464,-0.132158012,-0.8085288886,-0.0761442288,,0.568393,-0.132186,-0.808496,-0.076097
1.40363685969167E+018,,0.56875787,-0.1322687612,-0.80820821,-0.076491878,,0.568781,-0.132298,-0.808172,-0.076442
1.40363685969667E+018,,0.5691330512,-0.1323540973,-0.8078945651,-0.0768889089,,0.569159,-0.13238,-0.807856,-0.076835
1.40363685970167E+018,,0.569502958,-0.1324170614,-0.8075826863,-0.0773399489,,0.569531,-0.132441,-0.807541,-0.077283
1.40363685970667E+018,,0.5698760357,-0.1324626066,-0.8072658469,-0.0778391043,,0.569907,-0.132488,-0.80722,-0.07778
1.40363685971167E+018,,0.5702592629,-0.1324871016,-0.806941841,-0.0783685795,,0.570293,-0.132512,-0.806893,-0.078307
1.40363685971667E+018,,0.5706542039,-0.1324925235,-0.8066111123,-0.0789110474,,0.57069,-0.132514,-0.80656,-0.078845
1.40363685972167E+018,,0.571061099,-0.1324850129,-0.8062731132,-0.0794581068,,0.571098,-0.132504,-0.80622,-0.079388
1.40363685972667E+018,,0.5714783675,-0.1324685765,-0.8059289149,-0.0800026935,,0.571517,-0.132487,-0.805873,-0.07993
1.40363685973167E+018,,0.5719044136,-0.1324440799,-0.8055801156,-0.0805381185,,0.571943,-0.132461,-0.805522,-0.080463
