Time,,OriNet_Q0,OriNet_Q1,OriNet_Q2,OriNet_Q3,,GT_Q0,GT_Q1,GT_Q2,GT_Q3
1.4036381289451E+018,,0.24079,-0.761103,-0.355913,-0.485868,,0.24079,-0.761103,-0.355913,-0.485868
1.4036381289501E+018,,0.240841,-0.761076,-0.355912,-0.485887,,0.240841,-0.761076,-0.355912,-0.485887
1.4036381289551E+018,,0.24089,-0.761048,-0.355909,-0.485909,,0.24089,-0.761048,-0.355909,-0.485909
1.4036381289601E+018,,0.240934,-0.761034,-0.355904,-0.485913,,0.240934,-0.761034,-0.355904,-0.485913
1.4036381289651E+018,,0.240972,-0.761037,-0.3559,-0.485891,,0.240972,-0.761037,-0.3559,-0.485891
1.4036381289701E+018,,0.240992,-0.761056,-0.355894,-0.485856,,0.240992,-0.761056,-0.355894,-0.485856
1.4036381289751E+018,,0.240989,-0.761079,-0.355886,-0.485828,,0.240989,-0.761079,-0.355886,-0.485828
1.4036381289801E+018,,0.24097,-0.761095,-0.355881,-0.485815,,0.24097,-0.761095,-0.355881,-0.485815
1.4036381289851E+018,,0.240934,-0.761109,-0.355886,-0.485808,,0.240934,-0.761109,-0.355886,-0.485808
1.4036381289901E+018,,0.240885,-0.761117,-0.355896,-0.485813,,0.240885,-0.761117,-0.355896,-0.485813
1.4036381289951E+018,,0.240838,-0.761112,-0.355911,-0.485833,,0.240838,-0.761112,-0.355911,-0.485833
1.4036381290001E+018,,0.24081,-0.761102,-0.355923,-0.485854,,0.24081,-0.761102,-0.355923,-0.485854
1.4036381290051E+018,,0.2408051554,-0.7611136241,-0.3559260735,-0.4858329699,,0.240803,-0.761113,-0.355927,-0.485836
1.4036381290101E+018,,0.2408191866,-0.7611492639,-0.3559278669,-0.4857673687,,0.240814,-0.76115,-0.355928,-0.485772
1.4036381290151E+018,,0.2408553123,-0.7611734743,-0.355928395,-0.4857089348,,0.240848,-0.761175,-0.35593,-0.485714
1.4036381290201E+018,,0.2409072271,-0.7611533262,-0.3559278374,-0.4857103438,,0.240898,-0.761157,-0.355934,-0.485715
1.4036381290251E+018,,0.240957204,-0.7610810472,-0.3559334745,-0.4857868262,,0.240945,-0.761088,-0.355945,-0.485792
1.4036381290301E+018,,0.2409856802,-0.7609770118,-0.3559672189,-0.4859015505,,0.240971,-0.760988,-0.355984,-0.485907
1.4036381290351E+018,,0.2409734025,-0.7608717578,-0.3560571908,-0.4859987622,,0.240957,-0.760889,-0.35608,-0.485999
1.4036381290401E+018,,0.2409161544,-0.7607666862,-0.3562043313,-0.4860780217,,0.2409,-0.760787,-0.356233,-0.486074
1.4036381290451E+018,,0.2408133836,-0.7606539659,-0.3563910621,-0.4861635489,,0.240798,-0.760673,-0.356428,-0.486161
1.4036381290501E+018,,0.240662833,-0.7605372806,-0.3565981521,-0.4862645359,,0.240645,-0.760554,-0.356646,-0.486264
1.4036381290551E+018,,0.2404688121,-0.7604248015,-0.3568128179,-0.4863759816,,0.240448,-0.760439,-0.356869,-0.486376
1.4036381290601E+018,,0.2402359067,-0.760319708,-0.3570375162,-0.4864888792,,0.240211,-0.760333,-0.357102,-0.486488
1.4036381290651E+018,,0.2399723936,-0.7602159984,-0.3572781029,-0.4866034514,,0.239942,-0.760229,-0.357349,-0.486602
1.4036381290701E+018,,0.239692536,-0.7601051347,-0.3575365441,-0.4867231874,,0.239657,-0.760115,-0.35762,-0.486722
1.4036381290751E+018,,0.2394107241,-0.7599963846,-0.3577982354,-0.4868382444,,0.239372,-0.760003,-0.357894,-0.486836
1.4036381290801E+018,,0.2391345814,-0.7599010043,-0.3580440881,-0.4869423014,,0.239092,-0.759905,-0.358148,-0.48694
1.4036381290851E+018,,0.2388642045,-0.7598233216,-0.3582687034,-0.4870328819,,0.238815,-0.759824,-0.35838,-0.487032
1.4036381290901E+018,,0.2386045152,-0.7597569026,-0.3584752701,-0.4871145505,,0.238546,-0.759754,-0.358594,-0.487114
1.4036381290951E+018,,0.238368981,-0.7596893017,-0.3586654365,-0.4871979456,,0.238302,-0.759684,-0.358789,-0.487199
1.4036381291001E+018,,0.238163098,-0.7596131354,-0.3588488408,-0.4872841561,,0.23809,-0.759607,-0.358976,-0.487285
1.4036381291051E+018,,0.2379826315,-0.7595259755,-0.3590263981,-0.4873779269,,0.237907,-0.759518,-0.359158,-0.487378
1.4036381291101E+018,,0.2378134238,-0.7594384146,-0.3591897367,-0.4874770553,,0.237735,-0.759429,-0.359328,-0.487478
1.4036381291151E+018,,0.2376504422,-0.7593605916,-0.3593226236,-0.4875811962,,0.237567,-0.759349,-0.359466,-0.487581
1.4036381291201E+018,,0.2374995352,-0.7592910827,-0.3594078125,-0.4877021694,,0.237409,-0.759277,-0.359556,-0.487703
1.4036381291251E+018,,0.237363432,-0.7592275593,-0.3594460462,-0.4878412584,,0.237264,-0.75921,-0.3596,-0.487846
1.4036381291301E+018,,0.2372378142,-0.7591667898,-0.3594550548,-0.487991991,,0.237131,-0.759145,-0.359617,-0.488
1.4036381291351E+018,,0.2371099581,-0.7591050527,-0.3594555659,-0.4881512251,,0.236998,-0.759077,-0.359627,-0.488163
1.4036381291401E+018,,0.23696823,-0.7590361725,-0.3594616069,-0.4883241115,,0.236851,-0.759002,-0.359643,-0.488339
1.4036381291451E+018,,0.2368172568,-0.7589497291,-0.359474458,-0.4885233787,,0.236696,-0.758908,-0.359664,-0.488543
1.4036381291501E+018,,0.2366710215,-0.7588442312,-0.3594911955,-0.4887471144,,0.236548,-0.758797,-0.359686,-0.488772
1.4036381291551E+018,,0.236551727,-0.7587209035,-0.3595060363,-0.4889868389,,0.236424,-0.758668,-0.359708,-0.489016
1.4036381291601E+018,,0.2364888927,-0.7585875952,-0.3595070914,-0.4892248623,,0.236358,-0.75853,-0.359714,-0.489258
1.4036381291651E+018,,0.2365021437,-0.758459326,-0.3594821879,-0.4894376051,,0.236372,-0.758396,-0.359695,-0.489473
1.4036381291701E+018,,0.2365893546,-0.7583527758,-0.3594217679,-0.4896078972,,0.236459,-0.758285,-0.35964,-0.489644
1.4036381291751E+018,,0.2367463977,-0.7582729633,-0.3593184468,-0.4897349317,,0.236615,-0.758197,-0.359545,-0.489774
1.4036381291801E+018,,0.2369794121,-0.758223187,-0.3591611683,-0.4898189326,,0.236847,-0.758143,-0.359394,-0.489857
1.4036381291851E+018,,0.2373006665,-0.7581894186,-0.3589491241,-0.4898749436,,0.237169,-0.758108,-0.359181,-0.489911
1.4036381291901E+018,,0.2377183668,-0.7581522074,-0.3586941493,-0.4899195196,,0.237591,-0.758069,-0.358927,-0.489953
1.4036381291951E+018,,0.2382284455,-0.7581059707,-0.3584052992,-0.4899567062,,0.238108,-0.758023,-0.358639,-0.489983
1.4036381292001E+018,,0.238820239,-0.7580504164,-0.3580788628,-0.4899954742,,0.238711,-0.757969,-0.358312,-0.490015
1.4036381292051E+018,,0.23948,-0.7579909126,-0.3577048729,-0.4900421703,,0.239379,-0.757911,-0.357936,-0.490054
1.4036381292101E+018,,0.2402036242,-0.7579301387,-0.3572698676,-0.4901041222,,0.240111,-0.757852,-0.357496,-0.490107
1.4036381292151E+018,,0.2409851202,-0.7578682492,-0.3567673252,-0.4901874823,,0.240903,-0.75779,-0.35699,-0.490185
1.4036381292201E+018,,0.2418133803,-0.7578138593,-0.3561973441,-0.4902839656,,0.241741,-0.757732,-0.356421,-0.490277
1.4036381292251E+018,,0.2426864599,-0.7577742665,-0.355557399,-0.4903845709,,0.242624,-0.757688,-0.355784,-0.490372
1.4036381292301E+018,,0.243607622,-0.7577506191,-0.3548438998,-0.4904883526,,0.243556,-0.757659,-0.355075,-0.490471
1.4036381292351E+018,,0.2445826083,-0.7577387319,-0.3540529583,-0.4906008852,,0.24454,-0.757642,-0.35429,-0.490576
1.4036381292401E+018,,0.2456225781,-0.7577297938,-0.3531823599,-0.4907304439,,0.245588,-0.757625,-0.353423,-0.490697
1.4036381292451E+018,,0.2467315663,-0.7577202774,-0.3522407149,-0.4908730156,,0.246708,-0.75761,-0.352487,-0.490833
1.4036381292501E+018,,0.2479070693,-0.7577119044,-0.3512372297,-0.4910201698,,0.247896,-0.757598,-0.35149,-0.490971
1.4036381292551E+018,,0.2491500598,-0.7576996913,-0.3501725197,-0.4911777202,,0.249152,-0.757582,-0.350432,-0.491119
1.4036381292601E+018,,0.2504635047,-0.7576802241,-0.3490421316,-0.4913520098,,0.250483,-0.75756,-0.349304,-0.491283
1.4036381292651E+018,,0.2518354777,-0.7576521526,-0.3478477812,-0.491548966,,0.251876,-0.757529,-0.34811,-0.49147
1.4036381292701E+018,,0.2532517956,-0.7576131821,-0.3465931412,-0.4917756425,,0.253312,-0.757485,-0.346858,-0.491688
1.4036381292751E+018,,0.2547062979,-0.7575641221,-0.3452799964,-0.4920316646,,0.254786,-0.75743,-0.345547,-0.491938
1.4036381292801E+018,,0.256197597,-0.7575039734,-0.3439119057,-0.4923159185,,0.256299,-0.757362,-0.344182,-0.492218
1.4036381292851E+018,,0.2577198667,-0.7574347097,-0.3424939826,-0.4926244428,,0.257842,-0.757283,-0.342768,-0.492524
1.4036381292901E+018,,0.2592691154,-0.7573559156,-0.3410262926,-0.4929593599,,0.259411,-0.757196,-0.341302,-0.492857
1.4036381292951E+018,,0.2608384888,-0.7572619867,-0.3395116837,-0.4933293121,,0.260994,-0.757078,-0.339783,-0.49322
1.4036381293001E+018,,0.2624114203,-0.7571593645,-0.3379611471,-0.4937248038,,0.262584,-0.756963,-0.338237,-0.493621
1.4036381293051E+018,,0.2639715995,-0.7570594032,-0.3363865403,-0.4941290677,,0.264158,-0.756851,-0.336669,-0.49403
1.4036381293101E+018,,0.2655182178,-0.7569659091,-0.3347901591,-0.4945356673,,0.265716,-0.756744,-0.335083,-0.494442
1.4036381293151E+018,,0.2670582147,-0.7568821592,-0.3331705231,-0.4949374524,,0.267266,-0.756648,-0.333474,-0.494846
1.4036381293201E+018,,0.2686033348,-0.7568067402,-0.331527297,-0.4953301728,,0.26882,-0.756561,-0.331839,-0.495241
1.4036381293251E+018,,0.2701600302,-0.7567405313,-0.329869919,-0.4957023808,,0.270386,-0.756485,-0.330189,-0.495612
1.4036381293301E+018,,0.2717248434,-0.7566837287,-0.3282141372,-0.4960443854,,0.271962,-0.756421,-0.32854,-0.495949
1.4036381293351E+018,,0.2732886892,-0.7566366163,-0.326573153,-0.4963516208,,0.273537,-0.756368,-0.326906,-0.496248
1.4036381293401E+018,,0.2748449098,-0.7565987118,-0.3249556977,-0.4966224507,,0.275107,-0.756326,-0.325295,-0.496508
1.4036381293451E+018,,0.2763908114,-0.7565709863,-0.3233651915,-0.4968551212,,0.276659,-0.756278,-0.323702,-0.496713
1.4036381293501E+018,,0.2779290707,-0.7565510654,-0.3218035097,-0.4970509157,,0.278212,-0.756261,-0.322144,-0.49689
1.4036381293551E+018,,0.2794635278,-0.7565347406,-0.3202682945,-0.4972158893,,0.279764,-0.756248,-0.320611,-0.497035
1.4036381293601E+018,,0.280986409,-0.7565238388,-0.3187587881,-0.4973516572,,0.281304,-0.756241,-0.319103,-0.497151
1.4036381293651E+018,,0.2824787873,-0.7565280594,-0.317284295,-0.4974483629,,0.282814,-0.756253,-0.317626,-0.497227
1.4036381293701E+018,,0.2839142925,-0.7565504305,-0.3158627135,-0.497504779,,0.284264,-0.756283,-0.316202,-0.497265
1.4036381293751E+018,,0.2852734171,-0.7565862227,-0.3145109299,-0.4975291151,,0.285637,-0.756326,-0.31485,-0.497275
1.4036381293801E+018,,0.286536969,-0.7566331157,-0.3132407933,-0.4975294489,,0.286912,-0.756378,-0.313582,-0.497266
1.4036381293851E+018,,0.2876920977,-0.7566916473,-0.3120600745,-0.4975091387,,0.288073,-0.756442,-0.312404,-0.497243
1.4036381293901E+018,,0.2887355405,-0.7567668429,-0.310976297,-0.4974603907,,0.289121,-0.756522,-0.311321,-0.497193
1.4036381293951E+018,,0.2896588769,-0.756864765,-0.3099959318,-0.4973764029,,0.29005,-0.756622,-0.310345,-0.497112
1.4036381294001E+018,,0.2904484972,-0.7569984902,-0.3091223019,-0.4972450401,,0.290841,-0.756759,-0.309478,-0.496984
1.4036381294051E+018,,0.2911080838,-0.7571688599,-0.3083525377,-0.4970666658,,0.291502,-0.756933,-0.308714,-0.496808
1.4036381294101E+018,,0.2916479332,-0.7573668311,-0.3076831712,-0.4968529413,,0.292047,-0.757132,-0.308051,-0.496597
1.4036381294151E+018,,0.2920693134,-0.7575925708,-0.3071176755,-0.4966019497,,0.292471,-0.757357,-0.307494,-0.496349
1.4036381294201E+018,,0.2923825208,-0.7578431395,-0.3066585731,-0.4963117759,,0.292785,-0.757606,-0.307045,-0.496063
1.4036381294251E+018,,0.2926097815,-0.7581139693,-0.3063066064,-0.495977001,,0.293015,-0.757876,-0.306698,-0.49573
1.4036381294301E+018,,0.2927559901,-0.7583990209,-0.3060697268,-0.4955991494,,0.293166,-0.758157,-0.306466,-0.495354
1.4036381294351E+018,,0.2928164868,-0.7586895265,-0.3059521974,-0.4951909695,,0.293226,-0.758445,-0.306358,-0.494946
1.4036381294401E+018,,0.2927982231,-0.7589796859,-0.3059472848,-0.4947614925,,0.293197,-0.758718,-0.306353,-0.4945
1.4036381294451E+018,,0.2927033351,-0.7592664362,-0.3060555775,-0.4943135085,,0.293097,-0.759007,-0.306465,-0.494047
1.4036381294501E+018,,0.2925236111,-0.7595532248,-0.3062873583,-0.4938385754,,0.292909,-0.759294,-0.306709,-0.493566
1.4036381294551E+018,,0.2922610416,-0.7598458048,-0.306635195,-0.4933314869,,0.29264,-0.75959,-0.307069,-0.493047
1.4036381294601E+018,,0.2919134255,-0.7601433333,-0.3070845623,-0.4928037123,,0.292285,-0.759893,-0.307527,-0.492505
1.4036381294651E+018,,0.2914772063,-0.7604367274,-0.3076294248,-0.4922724901,,0.291839,-0.760193,-0.30808,-0.491961
1.4036381294701E+018,,0.290953167,-0.7607270475,-0.3082685204,-0.4917349762,,0.291306,-0.760491,-0.308728,-0.491411
1.4036381294751E+018,,0.2903435322,-0.7610181714,-0.3090024757,-0.491181932,,0.290688,-0.760791,-0.309475,-0.490844
1.4036381294801E+018,,0.2896530698,-0.761314668,-0.3098215865,-0.490609191,,0.289988,-0.761095,-0.31031,-0.490261
1.4036381294851E+018,,0.2888910651,-0.7616204775,-0.3107126036,-0.4900139691,,0.289212,-0.761409,-0.311217,-0.489658
1.4036381294901E+018,,0.2880725599,-0.7619337966,-0.3116691748,-0.4893947459,,0.28838,-0.761731,-0.312187,-0.489033
1.4036381294951E+018,,0.2872028479,-0.762246499,-0.3126916833,-0.4887596108,,0.287497,-0.762051,-0.313223,-0.488393
1.4036381295001E+018,,0.2862809931,-0.7625471677,-0.3137793691,-0.488125436,,0.286562,-0.762362,-0.314321,-0.487755
1.4036381295051E+018,,0.285308675,-0.7628225829,-0.3149337519,-0.487508856,,0.285578,-0.762646,-0.315485,-0.48714
1.4036381295101E+018,,0.2842909261,-0.7630695392,-0.316150417,-0.486914551,,0.284549,-0.762902,-0.316712,-0.486547
1.4036381295151E+018,,0.2832411161,-0.7632890695,-0.3174149065,-0.4863440403,,0.28349,-0.763133,-0.317981,-0.485977
1.4036381295201E+018,,0.2821725331,-0.763480806,-0.3187152517,-0.485798976,,0.282414,-0.763337,-0.319284,-0.485432
