Time,,OriNet_Q0,OriNet_Q1,OriNet_Q2,OriNet_Q3,,GT_Q0,GT_Q1,GT_Q2,GT_Q3
1.40371527430714E+018,,0.060571,-0.828433,-0.059051,-0.553664,,0.060571,-0.828433,-0.059051,-0.553664
1.40371527431214E+018,,0.0606,-0.828405,-0.0591,-0.553697,,0.0606,-0.828405,-0.0591,-0.553697
1.40371527431714E+018,,0.060577,-0.828395,-0.059095,-0.553715,,0.060577,-0.828395,-0.059095,-0.553715
1.40371527432214E+018,,0.060511,-0.82841,-0.059057,-0.553704,,0.060511,-0.82841,-0.059057,-0.553704
1.40371527432714E+018,,0.06043,-0.82843,-0.058994,-0.55369,,0.06043,-0.82843,-0.058994,-0.55369
1.40371527433214E+018,,0.060351,-0.828434,-0.058938,-0.553697,,0.060351,-0.828434,-0.058938,-0.553697
1.40371527433714E+018,,0.060292,-0.828421,-0.05891,-0.553727,,0.060292,-0.828421,-0.05891,-0.553727
1.40371527434214E+018,,0.060273,-0.828396,-0.05891,-0.553766,,0.060273,-0.828396,-0.05891,-0.553766
1.40371527434714E+018,,0.060311,-0.828368,-0.05893,-0.553802,,0.060311,-0.828368,-0.05893,-0.553802
1.40371527435214E+018,,0.060386,-0.828353,-0.058963,-0.553813,,0.060386,-0.828353,-0.058963,-0.553813
1.40371527435714E+018,,0.060456,-0.828353,-0.058997,-0.553801,,0.060456,-0.828353,-0.058997,-0.553801
1.40371527436214E+018,,0.060489,-0.828362,-0.059011,-0.553783,,0.060489,-0.828362,-0.059011,-0.553783
1.40371527436714E+018,,0.0604465822,-0.8283727599,-0.058981714,-0.5537739174,,0.060457,-0.828371,-0.058994,-0.553775
1.40371527437214E+018,,0.0603592297,-0.8283701821,-0.058913923,-0.5537944975,,0.060382,-0.828367,-0.058934,-0.553796
1.40371527437714E+018,,0.0602715802,-0.828362903,-0.0588461457,-0.5538228833,,0.060298,-0.82836,-0.058872,-0.553822
1.40371527438214E+018,,0.0602472919,-0.8283623016,-0.0588256865,-0.5538295158,,0.060273,-0.828361,-0.058847,-0.553826
1.40371527438714E+018,,0.0603128044,-0.8283735932,-0.0588880395,-0.5537986317,,0.060334,-0.82837,-0.0589,-0.553799
1.40371527439214E+018,,0.0604444078,-0.8283947059,-0.0590241986,-0.5537355668,,0.06046,-0.828391,-0.059029,-0.55374
1.40371527439714E+018,,0.0605775956,-0.8284119711,-0.0591700965,-0.5536752175,,0.060594,-0.828408,-0.05917,-0.553686
1.40371527440214E+018,,0.0606311186,-0.8284185536,-0.0592448949,-0.5536476317,,0.060657,-0.828415,-0.059247,-0.55366
1.40371527440714E+018,,0.060568195,-0.8284229613,-0.0591883734,-0.5536534496,,0.060604,-0.828421,-0.059202,-0.553661
1.40371527441214E+018,,0.0604000382,-0.8284289077,-0.0590097524,-0.5536835718,,0.060441,-0.828429,-0.059037,-0.553685
1.40371527441714E+018,,0.0602166754,-0.8284401662,-0.0587901946,-0.5537122186,,0.060255,-0.828442,-0.05883,-0.553709
1.40371527442214E+018,,0.0601277022,-0.8284612639,-0.0586396719,-0.5537083792,,0.060167,-0.828461,-0.058689,-0.553704
