Time,,OriNet_Q0,OriNet_Q1,OriNet_Q2,OriNet_Q3,,GT_Q0,GT_Q1,GT_Q2,GT_Q3
1.40371588838406E+018,,0.051146,0.827886,-0.050832,0.556242,,0.051146,0.827886,-0.050832,0.556242
1.40371588838906E+018,,0.051148,0.82789,-0.050839,0.556236,,0.051148,0.82789,-0.050839,0.556236
1.40371588839406E+018,,0.051152,0.827895,-0.050846,0.556227,,0.051152,0.827895,-0.050846,0.556227
1.40371588839906E+018,,0.051152,0.827899,-0.05085,0.55622,,0.051152,0.827899,-0.05085,0.55622
1.40371588840406E+018,,0.051147,0.827901,-0.050855,0.556217,,0.051147,0.827901,-0.050855,0.556217
1.40371588840906E+018,,0.051141,0.827904,-0.050859,0.556212,,0.051141,0.827904,-0.050859,0.556212
1.40371588841406E+018,,0.051138,0.827907,-0.050863,0.556208,,0.051138,0.827907,-0.050863,0.556208
1.40371588841906E+018,,0.051139,0.827909,-0.050867,0.556205,,0.051139,0.827909,-0.050867,0.556205
1.40371588842406E+018,,0.051138,0.827913,-0.050865,0.556199,,0.051138,0.827913,-0.050865,0.556199
1.40371588842906E+018,,0.051139,0.827912,-0.050864,0.556201,,0.051139,0.827912,-0.050864,0.556201
1.40371588843406E+018,,0.051138,0.82791,-0.050863,0.556205,,0.051138,0.82791,-0.050863,0.556205
1.40371588843906E+018,,0.05113,0.827911,-0.050864,0.556204,,0.05113,0.827911,-0.050864,0.556204
1.40371588844406E+018,,0.0511263653,0.827912061,-0.0508637428,0.5562042002,,0.051119,0.827914,-0.050867,0.5562
1.40371588844906E+018,,0.051127626,0.8279115809,-0.0508617402,0.5562062504,,0.051114,0.827915,-0.050867,0.556199
1.40371588845406E+018,,0.0511332593,0.827911296,-0.0508597115,0.5562077197,,0.051115,0.827916,-0.050868,0.556196
1.40371588845906E+018,,0.0511374912,0.8279101353,-0.0508579782,0.5562103482,,0.051113,0.827917,-0.050871,0.556195
1.40371588846406E+018,,0.0511424137,0.827909745,-0.0508537544,0.556211983,,0.051112,0.827918,-0.050871,0.556194
1.40371588846906E+018,,0.0511499171,0.8279105715,-0.0508451282,0.5562118067,,0.051116,0.827921,-0.050866,0.556189
1.40371588847406E+018,,0.0511551413,0.827912355,-0.0508358988,0.5562105044,,0.051117,0.827924,-0.050863,0.556185
1.40371588847906E+018,,0.0511569758,0.8279180462,-0.0508257695,0.5562040492,,0.051117,0.827928,-0.050856,0.55618
1.40371588848406E+018,,0.0511595243,0.8279259894,-0.0508151609,0.5561944478,,0.051116,0.827938,-0.050852,0.556166
1.40371588848906E+018,,0.0511642717,0.8279316114,-0.0508054971,0.556187831,,0.051118,0.827944,-0.05085,0.556157
1.40371588849406E+018,,0.051166369,0.8279362447,-0.0507962552,0.5561829648,,0.051117,0.827949,-0.050847,0.55615
1.40371588849906E+018,,0.0511654556,0.8279420143,-0.0507900273,0.5561766319,,0.051112,0.827956,-0.050848,0.55614
1.40371588850406E+018,,0.0511625578,0.8279443486,-0.0507871756,0.5561752606,,0.051107,0.827959,-0.050853,0.556136
1.40371588850906E+018,,0.0511559387,0.8279428887,-0.0507852536,0.5561795766,,0.051098,0.827957,-0.050859,0.556137
1.40371588851406E+018,,0.0511464072,0.8279405187,-0.0507810514,0.5561856317,,0.051086,0.827956,-0.050862,0.55614
1.40371588851906E+018,,0.0511372057,0.8279373164,-0.0507737186,0.556193092,,0.051075,0.827954,-0.050862,0.556144
1.40371588852406E+018,,0.0511274631,0.8279342319,-0.0507643143,0.5562006308,,0.051062,0.827952,-0.05086,0.556148
1.40371588852906E+018,,0.0511200831,0.8279314938,-0.0507567082,0.556207261,,0.051057,0.827943,-0.050857,0.556163
1.40371588853406E+018,,0.0511163408,0.827932344,-0.050751604,0.556208424,,0.051051,0.827945,-0.05086,0.556161
1.40371588853906E+018,,0.0511146823,0.8279350742,-0.0507478548,0.5562064261,,0.051046,0.827948,-0.050863,0.556155
1.40371588854406E+018,,0.0511146466,0.8279380743,-0.0507473409,0.5562037334,,0.051043,0.827951,-0.05087,0.55615
1.40371588854906E+018,,0.0511141776,0.8279418102,-0.0507478288,0.556199844,,0.051041,0.827956,-0.050878,0.556143
1.40371588855406E+018,,0.0511130653,0.8279444908,-0.0507472761,0.5561974499,,0.051037,0.827959,-0.050884,0.556138
1.40371588855906E+018,,0.0511130474,0.8279476319,-0.0507455668,0.5561943949,,0.051034,0.827963,-0.05089,0.556132
1.40371588856406E+018,,0.051116773,0.8279528221,-0.0507411036,0.5561884059,,0.051037,0.827969,-0.050894,0.556122
1.40371588856906E+018,,0.0511220738,0.8279576199,-0.0507299953,0.5561831882,,0.051039,0.827975,-0.050891,0.556114
1.40371588857406E+018,,0.0511300434,0.8279617345,-0.0507141825,0.556178992,,0.051043,0.82798,-0.050881,0.556107
1.40371588857906E+018,,0.05114182,0.8279677882,-0.0506997614,0.5561718791,,0.051061,0.827982,-0.050866,0.556104
1.40371588858406E+018,,0.0511514685,0.8279728657,-0.05069022,0.5561660321,,0.051068,0.827987,-0.050866,0.556095
1.40371588858906E+018,,0.0511560973,0.8279776946,-0.0506818477,0.5561608305,,0.05107,0.827992,-0.050867,0.556088
1.40371588859406E+018,,0.0511575103,0.8279841181,-0.0506711081,0.5561537891,,0.051069,0.827999,-0.050862,0.556077
1.40371588859906E+018,,0.0511569901,0.8279855935,-0.0506612552,0.5561538354,,0.051065,0.828002,-0.050859,0.556074
1.40371588860406E+018,,0.0511566024,0.8279826667,-0.0506577765,0.5561597331,,0.051062,0.828,-0.050863,0.556078
1.40371588860906E+018,,0.051159285,0.8279809052,-0.0506598432,0.5561633121,,0.051063,0.827998,-0.050874,0.556078
1.40371588861406E+018,,0.0511607952,0.8279820716,-0.0506620277,0.556162735,,0.051062,0.828,-0.050883,0.556074
1.40371588861906E+018,,0.0511611578,0.8279839145,-0.0506631148,0.5561613134,,0.051059,0.828003,-0.050892,0.55607
1.40371588862406E+018,,0.0511624602,0.8279838888,-0.0506633014,0.5561626107,,0.051058,0.828003,-0.050899,0.556069
1.40371588862906E+018,,0.0511630099,0.8279837531,-0.0506631766,0.5561641768,,0.051062,0.827995,-0.050901,0.556081
1.40371588863406E+018,,0.0511615287,0.8279836213,-0.0506630589,0.5561659424,,0.051058,0.827996,-0.050908,0.55608
1.40371588863906E+018,,0.0511577,0.8279838653,-0.0506614423,0.5561675006,,0.051052,0.827997,-0.050915,0.556078
1.40371588864406E+018,,0.0511545134,0.8279858161,-0.0506551212,0.5561669341,,0.051046,0.828,-0.050917,0.556074
1.40371588864906E+018,,0.0511540777,0.8279868669,-0.0506439744,0.5561676925,,0.051043,0.828002,-0.050912,0.556072
1.40371588865406E+018,,0.0511556001,0.827988201,-0.0506317541,0.5561680589,,0.051042,0.828004,-0.050907,0.556069
1.40371588865906E+018,,0.0511570473,0.8279914211,-0.0506205803,0.5561656371,,0.051041,0.828008,-0.050905,0.556063
1.40371588866406E+018,,0.0511592644,0.8279949649,-0.0506103435,0.5561625366,,0.05104,0.828013,-0.050902,0.556057
1.40371588866906E+018,,0.0511653048,0.8279976935,-0.0506017804,0.5561600193,,0.051042,0.828016,-0.0509,0.556052
1.40371588867406E+018,,0.0511765785,0.8280015181,-0.0505957138,0.5561554335,,0.051051,0.82802,-0.050901,0.556044
1.40371588867906E+018,,0.0511871172,0.8280054938,-0.0505906875,0.556150655,,0.051069,0.828016,-0.050895,0.55605
1.40371588868406E+018,,0.0511925506,0.828006168,-0.0505857359,0.5561508878,,0.051072,0.828017,-0.050898,0.556048
1.40371588868906E+018,,0.0511923429,0.8280070504,-0.0505809999,0.5561513535,,0.051069,0.828019,-0.0509,0.556045
1.40371588869406E+018,,0.0511863519,0.8280104445,-0.0505764566,0.5561488009,,0.051061,0.828023,-0.050904,0.556039
1.40371588869906E+018,,0.0511771469,0.8280135473,-0.0505696222,0.5561470472,,0.051049,0.828027,-0.050905,0.556034
1.40371588870406E+018,,0.0511695045,0.828015605,-0.050562574,0.5561466591,,0.051039,0.82803,-0.050905,0.556031
1.40371588870906E+018,,0.0511663076,0.8280167918,-0.0505573042,0.5561470222,,0.051033,0.828031,-0.050908,0.556029
1.40371588871406E+018,,0.0511675117,0.8280191516,-0.0505527988,0.5561453322,,0.051032,0.828035,-0.050911,0.556024
1.40371588871906E+018,,0.0511691993,0.8280196277,-0.050549623,0.5561461248,,0.051031,0.828037,-0.050914,0.556021
1.40371588872406E+018,,0.0511675759,0.8280166089,-0.0505497248,0.5561518551,,0.051025,0.828034,-0.050923,0.556024
1.40371588872906E+018,,0.0511672423,0.8280166715,-0.0505479118,0.556153257,,0.051034,0.828024,-0.050918,0.556038
1.40371588873406E+018,,0.0511656435,0.8280204315,-0.0505412847,0.5561498327,,0.05103,0.828029,-0.050918,0.556031
1.40371588873906E+018,,0.05116151,0.8280249496,-0.0505330125,0.5561458092,,0.051022,0.828035,-0.050918,0.556024
1.40371588874406E+018,,0.0511592925,0.8280283972,-0.0505240378,0.5561432059,,0.051018,0.828039,-0.050916,0.556019
1.40371588874906E+018,,0.05115711,0.8280331436,-0.0505149279,0.5561387553,,0.051014,0.828044,-0.050915,0.556011
1.40371588875406E+018,,0.0511550456,0.8280397229,-0.0505050707,0.5561317066,,0.051009,0.828052,-0.050913,0.556001
1.40371588875906E+018,,0.0511565017,0.8280444083,-0.050493662,0.5561271504,,0.051007,0.828057,-0.05091,0.555993
1.40371588876406E+018,,0.0511639695,0.8280471751,-0.0504799281,0.5561249339,,0.051012,0.828061,-0.050903,0.555988
1.40371588876906E+018,,0.0511721741,0.8280492721,-0.0504664087,0.5561235786,,0.051017,0.828064,-0.050896,0.555983
1.40371588877406E+018,,0.0511770735,0.8280517919,-0.0504577315,0.5561216964,,0.051018,0.828067,-0.050895,0.555979
1.40371588877906E+018,,0.0511812854,0.828054335,-0.0504533702,0.5561196828,,0.051034,0.828058,-0.050889,0.555991
1.40371588878406E+018,,0.0511803887,0.8280541927,-0.0504497582,0.5561217307,,0.051031,0.828058,-0.050893,0.55599
1.40371588878906E+018,,0.0511753426,0.8280528762,-0.0504471676,0.5561256571,,0.051023,0.828058,-0.050897,0.555991
1.40371588879406E+018,,0.0511702443,0.8280521132,-0.0504450605,0.5561287267,,0.051016,0.828058,-0.050903,0.555992
1.40371588879906E+018,,0.0511644134,0.8280543876,-0.0504423908,0.5561275357,,0.051008,0.828061,-0.050907,0.555988
1.40371588880406E+018,,0.0511609273,0.8280587553,-0.0504412843,0.5561230532,,0.051001,0.828066,-0.050913,0.55598
1.40371588880906E+018,,0.051162014,0.8280628468,-0.0504411522,0.5561186152,,0.051,0.828071,-0.050922,0.555972
1.40371588881406E+018,,0.0511680492,0.8280655273,-0.0504374044,0.556115799,,0.051004,0.828074,-0.050926,0.555967
1.40371588881906E+018,,0.0511737292,0.8280686592,-0.0504293702,0.5561126274,,0.051007,0.828078,-0.050925,0.55596
1.40371588882406E+018,,0.0511763811,0.8280728286,-0.0504187528,0.5561083784,,0.051005,0.828083,-0.050921,0.555953
1.40371588882906E+018,,0.0511784,0.8280772573,-0.0504098508,0.5561038712,,0.051018,0.828076,-0.050908,0.555964
1.40371588883406E+018,,0.0511812627,0.8280818844,-0.0504033292,0.5560989335,,0.05102,0.828082,-0.050909,0.555955
1.40371588883906E+018,,0.0511818819,0.8280856165,-0.0503978257,0.5560953446,,0.051018,0.828086,-0.050912,0.555948
1.40371588884406E+018,,0.0511807695,0.8280890751,-0.0503912673,0.556092245,,0.051014,0.82809,-0.050913,0.555943
1.40371588884906E+018,,0.0511826073,0.8280934426,-0.0503825545,0.5560877925,,0.051013,0.828095,-0.050911,0.555935
1.40371588885406E+018,,0.0511853453,0.8280982075,-0.0503731069,0.556082797,,0.051013,0.828101,-0.050909,0.555927
1.40371588885906E+018,,0.0511870932,0.8281021625,-0.050363563,0.5560790615,,0.051012,0.828106,-0.050907,0.55592
1.40371588886406E+018,,0.0511887024,0.828106247,-0.0503553889,0.5560751591,,0.051011,0.828111,-0.050907,0.555913
1.40371588886906E+018,,0.0511890311,0.8281082498,-0.0503483242,0.5560742232,,0.051009,0.828114,-0.050907,0.555908
1.40371588887406E+018,,0.0511878498,0.8281071881,-0.0503427585,0.5560775129,,0.051004,0.828114,-0.050908,0.555909
1.40371588887906E+018,,0.0511866639,0.8281071979,-0.0503408557,0.5560790302,,0.051016,0.828099,-0.050903,0.55593
1.40371588888406E+018,,0.0511860334,0.8281121317,-0.0503391011,0.5560736445,,0.051012,0.828105,-0.05091,0.555921
1.40371588888906E+018,,0.0511857816,0.8281172783,-0.0503341011,0.5560681659,,0.051009,0.828111,-0.050911,0.555913
1.40371588889406E+018,,0.0511835498,0.8281179584,-0.050328836,0.5560693169,,0.051005,0.828112,-0.050912,0.555911
1.40371588889906E+018,,0.0511770616,0.828115838,-0.0503271114,0.5560745443,,0.050996,0.828111,-0.050919,0.555913
1.40371588890406E+018,,0.0511683581,0.8281139133,-0.0503254012,0.5560795431,,0.050984,0.82811,-0.050926,0.555915
1.40371588890906E+018,,0.0511639333,0.8281151757,-0.0503194708,0.5560798401,,0.050976,0.828112,-0.050926,0.555912
1.40371588891406E+018,,0.0511665128,0.8281197961,-0.0503132117,0.5560750143,,0.050977,0.828118,-0.050927,0.555904
1.40371588891906E+018,,0.0511707042,0.8281251567,-0.0503079531,0.556069047,,0.05098,0.828123,-0.050931,0.555895
1.40371588892406E+018,,0.0511698961,0.8281289202,-0.0503015205,0.5560656702,,0.050975,0.828128,-0.050932,0.555889
1.40371588892906E+018,,0.0511695459,0.8281318136,-0.0502956296,0.5560633563,,0.050989,0.828116,-0.050919,0.555906
1.40371588893406E+018,,0.0511742189,0.8281344152,-0.0502898396,0.5560610563,,0.050992,0.828119,-0.050921,0.5559
1.40371588893906E+018,,0.051178545,0.8281367295,-0.0502844174,0.556059116,,0.050993,0.828123,-0.050922,0.555895
1.40371588894406E+018,,0.0511856129,0.8281375594,-0.0502817857,0.5560588605,,0.050996,0.828124,-0.050928,0.555892
1.40371588894906E+018,,0.0511937901,0.828139527,-0.050279382,0.5560570424,,0.051004,0.828127,-0.050933,0.555887
1.40371588895406E+018,,0.0511943829,0.8281417185,-0.0502757656,0.5560554534,,0.051,0.82813,-0.050937,0.555882
1.40371588895906E+018,,0.0511919392,0.8281425944,-0.050272277,0.5560560169,,0.050995,0.828131,-0.05094,0.555881
1.40371588896406E+018,,0.0511878567,0.82814536,-0.0502687758,0.5560541385,,0.050989,0.828135,-0.050944,0.555875
1.40371588896906E+018,,0.0511810968,0.8281484271,-0.0502654547,0.5560519704,,0.050979,0.828139,-0.050949,0.555869
1.40371588897406E+018,,0.051177948,0.8281509855,-0.0502617971,0.5560502794,,0.050974,0.828142,-0.050953,0.555865
1.40371588897906E+018,,0.0511763713,0.8281552364,-0.0502558697,0.5560461973,,0.050987,0.828131,-0.050939,0.555882
1.40371588898406E+018,,0.0511763818,0.8281600289,-0.050248046,0.5560412438,,0.050983,0.828137,-0.050938,0.555874
1.40371588898906E+018,,0.0511789019,0.828163855,-0.0502403131,0.5560376001,,0.050983,0.828141,-0.050938,0.555867
1.40371588899406E+018,,0.0511839035,0.8281658381,-0.0502331929,0.5560363021,,0.050984,0.828144,-0.050938,0.555863
