Time,,Orinet_Q0,Orinet_Q1,Orinet_Q2,Orinet_Q3,,GT_Q0,GT_Q1,GT_Q2,GT_Q3
1.41339388723076E+018,,0.592159,0.022329,-0.805155,0.023984,,0.592159,0.022329,-0.805155,0.023984
1.41339388723576E+018,,0.592142,0.022292,-0.805168,0.023978,,0.592142,0.022292,-0.805168,0.023978
1.41339388724076E+018,,0.592144,0.022284,-0.805167,0.024004,,0.592144,0.022284,-0.805167,0.024004
1.41339388724576E+018,,0.592147,0.022309,-0.805162,0.024042,,0.592147,0.022309,-0.805162,0.024042
1.41339388725076E+018,,0.592133,0.022354,-0.80517,0.024085,,0.592133,0.022354,-0.80517,0.024085
1.41339388725576E+018,,0.592105,0.022393,-0.805188,0.024127,,0.592105,0.022393,-0.805188,0.024127
1.41339388726076E+018,,0.592096,0.022397,-0.805194,0.024142,,0.592096,0.022397,-0.805194,0.024142
1.41339388726576E+018,,0.592097,0.022367,-0.805195,0.02411,,0.592097,0.022367,-0.805195,0.02411
1.41339388727076E+018,,0.592086,0.022326,-0.805206,0.02405,,0.592086,0.022326,-0.805206,0.02405
1.41339388727576E+018,,0.59207,0.022302,-0.805221,0.023999,,0.59207,0.022302,-0.805221,0.023999
1.41339388728076E+018,,0.592065,0.022304,-0.805225,0.023978,,0.592065,0.022304,-0.805225,0.023978
1.41339388728576E+018,,0.592062,0.022322,-0.805226,0.023988,,0.592062,0.022322,-0.805226,0.023988
1.41339388729076E+018,,0.5920600024,0.0223663665,-0.805225458,0.0240231351,,0.592049,0.02236,-0.805234,0.024016
1.41339388729576E+018,,0.5920536185,0.0224141077,-0.8052280312,0.0240671455,,0.592032,0.022409,-0.805244,0.024053
1.41339388730076E+018,,0.5920566853,0.0224356147,-0.8052251718,0.0241033432,,0.592025,0.022431,-0.805247,0.02409
1.41339388730576E+018,,0.5920700023,0.0224106242,-0.8052163472,0.0241069873,,0.592031,0.022403,-0.805243,0.024096
1.41339388731076E+018,,0.5920713674,0.0223563439,-0.8052172148,0.0240738747,,0.592023,0.022346,-0.805252,0.02406
1.41339388731576E+018,,0.5920724815,0.0223020697,-0.8052183532,0.0240346167,,0.592017,0.022294,-0.805259,0.024021
